Unique_Visit_Identifier,Country_of_Visit,Country_of_Visit_IS03,Country_of_Visit_Region_World_Bank,Country_of_Visit_Borders_China,Visit_Arrival_Date,Visit_End_Date,Visit_Year,Multilateral_Summit,Multilateral_Summit_Type,Overall_Trip_Number,First_Visit_as_President,Visit_Number_to_Country_of_Visit,State_Visit,Head_of_State_Meeting,Capital_City_Visit,Locations_Visited,Geocoded_Locations,Visit_Sources_URLs
10001,Russia,RUS,Europe and Central Asia,1,3/22/13,3/23/13,2013,0,0,1,1,1,1,1,1,Moscow,"55.625578, 37.6063916",https://www.bbc.com/news/world-asia-china-21873944|https://edition.cnn.com/2013/03/22/world/asia/china-xijinping-moscow/index.html|https://www.gov.cn/ldhd/2013-03/22/content_2360285.htm|https://www.gov.cn/ldhd/2013-03/24/content_2360825.htm|https://www.bbc.com/news/world-asia-china-21873944
10002,Tanzania,TZA,Sub-Saharan Africa,0,3/24/13,3/25/13,2013,0,0,1,1,1,1,1,N,Dar es Salaam,"-6.8160837, 39.2803583",https://www.mfa.gov.cn/ce/cebw/eng/zfgx/t1025248.htm|https://www.fmprc.gov.cn/eng/gjhdq_665435/2913_665441/3099_664224/3101_664228/202406/t20240611_11418168.html|https://www.aljazeera.com/news/2013/3/24/chinese-president-arrives-in-tanzania
10003,South Africa,ZAF,Sub-Saharan Africa,0,3/25/13,3/29/13,2013,1,BRICS,1,1,1,1,1,1,Pretoria; Durban,"-25.7459277, 28.1879101; -29.861825, 31.009909",https://www.fmprc.gov.cn/ce/ceuk/eng/zgyw/t1025782.htm|https://www.gov.cn/ldhd/2013-03/26/content_2363041.htm|https://www.bbc.com/zhongwen/simp/business/2013/03/130325_china_safrica_xijinping|http://cpc.people.com.cn/n/2013/0326/c64094-20911827.html|https://www.bbc.com/zhongwen/simp/business/2013/03/130325_china_safrica_xijinping
10004,Republic of the Congo,COG,Sub-Saharan Africa,0,3/29/13,3/30/13,2013,0,0,1,1,1,1,1,1,Brazzaville,"-4.2694407, 15.2712256",https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpcf1_665694/t1027267.shtml|https://www.fmprc.gov.cn/eng/gjhdq_665435/2913_665441/2954_663914/2956_663918/201304/t20130401_543290.html|http://politics.people.com.cn/n/2013/0331/c1001-20976773.html|http://politics.people.com.cn/n/2013/0331/c1001-20976773.html
10005,Trinidad and Tobago,TTO,Latin America and Caribbean,0,5/31/13,6/2/13,2013,0,0,2,1,1,1,1,1,Port of Spain,"10.6572678, -61.5180173",http://www.chinadaily.com.cn/china/2013xivisit/2013-06/01/content_16554439.htm|http://www.chinadaily.com.cn/china/2013xivisit/2013-06/01/content_16554439.htm|https://www.bbc.com/news/world-latin-america-22744040|https://www.fmprc.gov.cn/eng/gjhdq_665435/3376_665447/3528_665138/3530_665142/202406/t20240612_11425946.html
10006,Costa Rica,CRI,Latin America and Caribbean,0,6/2/13,6/4/13,2013,0,0,2,1,1,1,1,1,San José; Santo Domingo de Heredia,"9.9327707, -84.0796144; 9.9893716, -84.0872039",https://www.chinadaily.com.cn/china/2013xivisit/2013-06/03/content_16559229.htm|https://www.fmprc.gov.cn/mfa_eng/gjhdq_665435/3376_665447/cr_665018/a_665022/202406/t20240612_11425398.html|https://www.fmprc.gov.cn/eng/gjhdq_665435/3376_665447/cr_665018/a_665022/202406/t20240612_11425393.html
10007,Mexico,MEX,Latin America and Caribbean,0,6/4/13,6/7/13,2013,0,0,2,1,1,1,1,1,Mexico City,"19.3207722, -99.1514678",https://www.fmprc.gov.cn/ce/cgtrt/eng/zgxw/t1047891.htm|https://www.fmprc.gov.cn/eng/gjhdq_665435/3376_665447/3508_665108/3510_665112/202406/t20240612_11425745.html|https://www.fmprc.gov.cn/eng/gjhdq_665435/3376_665447/3508_665108/3510_665112/202406/t20240612_11425748.html|https://www.americasquarterly.org/article/chinese-president-xi-jinpings-visit-to-mexico/
10008,United States,USA,North America,0,6/7/13,6/9/13,2013,0,0,2,1,1,0,1,N,"Ontario, California; Rancho Mirage, California; Indian Wells, California; Palm Springs, California","34.065846, -117.64843; 33.7583005, -116.4347271; 33.7217965, -116.338303; 33.8246269, -116.540303",https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpttcrmux_665688/t1048547.shtml|http://www.chinavitae.com/vip/index.php?mode=show&id=17334|https://sunnylands.org/convening-articles/president-obama-and-president-xi-hold-historic-meetings-at-sunnylands/|https://obamawhitehouse.archives.gov/the-press-office/2013/06/07/remarks-president-obama-and-president-xi-jinping-peoples-republic-china-|https://history.state.gov/departmenthistory/visits/china
10009,Turkmenistan,TKM,Europe and Central Asia,0,9/3/13,9/4/13,2013,0,0,3,1,1,1,1,1,Ashgabat,"37.9378322, 58.2359467",https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpfwzysiesgjtfhshzzfh_665686/t1073239.shtml|https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpfwzysiesgjtfhshzzfh_665686/t1073239.shtml|https://auckland.china-consulate.gov.cn/eng/chinanews/201309/t20130905_171978.htm
10010,Russia,RUS,Europe and Central Asia,1,9/4/13,9/6/13,2013,1,G20,3,0,2,1,1,0,Saint Petersburg,"59.9606739, 30.1586551",https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpfwzysiesgjtfhshzzfh_665686/t1073631.shtml|https://us.china-embassy.gov.cn/eng/unshown/xijinpingfangwenzhongyawuguobingchuxiG20fenghui/201309/t20130906_5096683.htm
10011,Kazakhstan,KAZ,Europe and Central Asia,1,9/6/13,9/7/13,2013,0,0,3,1,1,1,1,1,Astana,"51.1282205, 71.4306682",http://www.chinadaily.com.cn/china/2013xivisitcenterasia/2013-09/07/content_16951384.htm|https://us.china-embassy.gov.cn/eng/unshown/xijinpingfangwenzhongyawuguobingchuxiG20fenghui/201309/t20130906_5096683.htm
10012,Uzbekistan,UZB,Europe and Central Asia,0,9/8/13,9/9/13,2013,0,0,3,1,1,1,1,1,Tashkent,"41.3123363, 69.2787079",http://www.chinadaily.com.cn/china/2013xivisitcenterasia/2013-09/08/content_16953139.htm|https://us.china-embassy.gov.cn/eng/unshown/xijinpingfangwenzhongyawuguobingchuxiG20fenghui/201309/t20130906_5096683.htm|https://www.chinadaily.com.cn/china/2013xivisitcenterasia/2013-09/08/content_16953139.htm
10013,Kyrgyzstan,KGZ,Europe and Central Asia,1,9/10/13,9/13/13,2013,1,SCO,3,1,1,1,1,1,Bishkek,"42.8761424, 74.6036724",https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpfwzysiesgjtfhshzzfh_665686/t1076342.shtml|https://us.china-embassy.gov.cn/eng/unshown/xijinpingfangwenzhongyawuguobingchuxiG20fenghui/201309/t20130906_5096683.htm|https://www.fmprc.gov.cn/mfa_eng/gjhdq_665435/2675_665437/3185_664332/
10014,Indonesia,IDN,East Asia and Pacific,0,10/2/13,10/2/13,2013,0,0,4,1,1,1,1,1,Jakarta,"-6.1754049, 106.827168",https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpfwynmlxycx21apec_665682/t1084886.shtml|https://www.fmprc.gov.cn/eng/gjhdq_665435/2675_665437/2716_663436/2718_663440/202406/t20240607_11408247.html|https://www.chinadaily.com.cn/china/2013xiapec/2013-10/02/content_17007891.htm
10015,Malaysia,MYS,East Asia and Pacific,0,10/3/13,10/5/13,2013,0,0,4,1,1,1,0,1,Kuala Lumpur,"3.1516964, 101.6942371",http://www.chinadaily.com.cn/china/2013xiapec/2013-10/04/content_17009806.htm|http://pk.china-embassy.gov.cn/eng/zgxw/201310/t20131006_1222379.htm|https://www.fmprc.gov.cn/eng/gjhdq_665435/2675_665437/2716_663436/2718_663440/202406/t20240607_11408247.html
10016,Indonesia,IDN,East Asia and Pacific,0,10/5/13,10/8/13,2013,1,APEC,4,0,2,0,1,0,Denpasar,"-8.6653349, 115.2176191",https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpfwynmlxycx21apec_665682/t1085198.shtml|https://www.fmprc.gov.cn/eng/gjhdq_665435/2675_665437/2716_663436/2718_663440/202406/t20240607_11408247.html|https://www.fmprc.gov.cn/eng/gjhdq_665435/2675_665437/2716_663436/2718_663440/202406/t20240607_11408253.html|https://tz.china-embassy.gov.cn/eng/chinanews/201310/t20131011_6084050.htm
